@relation all_data_pacman-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C21-L5

@attribute 'Legal action North' {False,True}
@attribute 'Legal action South' {False,True}
@attribute 'Legal action East' {False,True}
@attribute 'Legal action West' {False,True}
@attribute 'North ghost 1' numeric
@attribute 'South ghost 1' numeric
@attribute 'East ghost 1' numeric
@attribute 'West ghost 1' numeric
@attribute 'North ghost 2' numeric
@attribute 'South ghost 2' numeric
@attribute 'East ghost 2' numeric
@attribute 'West ghost 2' numeric
@attribute 'North ghost 3' numeric
@attribute 'South ghost 3' numeric
@attribute 'East ghost 3' numeric
@attribute 'West ghost 3' numeric
@attribute 'North ghost 4' numeric
@attribute 'South ghost 4' numeric
@attribute 'East ghost 4' numeric
@attribute 'West ghost 4' numeric
@attribute 'Pacman direction' {North,South,East,West,Stop}
@attribute 'Current score' numeric
@attribute 'Future score' numeric

@data
True,True,True,True,14,16,14,16,?,?,?,?,?,?,?,?,8,8,6,8,East,372,371
True,True,True,True,14,16,14,16,?,?,?,?,?,?,?,?,8,8,6,8,East,371,370
True,False,True,True,14,?,14,16,?,?,?,?,?,?,?,?,6,?,4,6,East,370,369
True,True,True,True,12,14,14,14,?,?,?,?,?,?,?,?,6,4,4,6,East,369,368
True,True,True,False,12,14,14,?,?,?,?,?,?,?,?,?,6,4,4,?,South,368,367
True,True,True,False,13,15,15,?,?,?,?,?,?,?,?,?,4,2,2,?,South,367,366
True,True,True,False,13,15,15,?,?,?,?,?,?,?,?,?,4,2,2,?,South,366,365
True,False,True,False,15,?,17,?,?,?,?,?,?,?,?,?,2,?,2,?,South,365,364
True,True,True,False,14,16,16,?,?,?,?,?,?,?,?,?,2,4,2,?,North,364,363
True,True,True,False,14,16,16,?,?,?,?,?,?,?,?,?,2,2,0,?,North,363,562
True,True,True,True,14,16,16,14,?,?,?,?,?,?,?,?,?,?,?,?,East,562,561
True,True,True,True,14,16,16,14,?,?,?,?,?,?,?,?,?,?,?,?,North,561,560
True,True,False,True,12,14,?,12,?,?,?,?,?,?,?,?,?,?,?,?,North,560,559
True,True,True,True,10,12,12,10,?,?,?,?,?,?,?,?,?,?,?,?,North,559,558
True,True,True,True,8,10,10,8,?,?,?,?,?,?,?,?,?,?,?,?,North,558,557
True,True,True,True,6,8,8,6,?,?,?,?,?,?,?,?,?,?,?,?,North,557,556
True,True,True,True,4,6,6,4,?,?,?,?,?,?,?,?,?,?,?,?,North,556,555
True,True,True,True,4,6,6,4,?,?,?,?,?,?,?,?,?,?,?,?,North,555,554
False,True,True,True,?,6,6,4,?,?,?,?,?,?,?,?,?,?,?,?,North,554,553
False,True,True,True,?,4,4,2,?,?,?,?,?,?,?,?,?,?,?,?,West,553,552
True,False,True,True,10,?,12,10,15,?,13,15,8,?,6,8,12,?,10,12,South,-1,-2
True,True,True,True,11,13,13,11,15,13,15,15,7,5,7,7,11,9,9,11,East,-2,-3
True,True,True,False,11,13,13,?,13,11,13,?,5,3,5,?,11,9,9,?,South,-3,-4
True,True,True,True,12,14,14,14,13,11,13,11,5,5,5,3,10,8,8,10,South,-4,-5
False,True,True,True,?,14,12,14,?,11,13,11,?,5,5,3,?,8,8,10,West,-5,-6
False,True,True,True,?,16,14,16,?,9,11,9,?,5,5,3,?,8,8,10,West,-6,-7
False,True,True,True,?,16,14,16,?,7,9,7,?,5,5,3,?,8,8,10,West,-7,-8
False,True,True,True,?,17,15,17,?,7,9,7,?,3,5,3,?,10,10,12,West,-8,-9
True,True,True,True,17,19,17,19,9,7,9,7,5,5,5,3,10,10,8,10,South,-9,-10
True,True,True,True,18,20,18,20,7,5,7,7,3,5,5,3,12,12,10,12,West,-10,-11
False,True,True,True,?,19,17,19,?,7,9,9,?,5,5,3,?,12,12,14,North,-11,-12
False,True,True,True,?,19,17,19,?,7,7,9,?,3,3,1,?,12,12,14,West,-12,-13
True,True,True,True,21,21,19,21,10,8,8,10,3,3,3,1,15,13,13,15,West,-13,186
True,True,True,True,22,22,20,22,10,8,8,10,?,?,?,?,15,13,13,15,West,186,185
True,False,True,True,22,?,22,24,10,?,8,10,?,?,?,?,15,?,13,15,South,185,184
True,False,True,True,20,?,20,22,10,?,8,10,?,?,?,?,13,?,11,13,East,184,183
True,False,True,True,20,?,20,22,10,?,8,10,?,?,?,?,13,?,11,13,East,183,182
True,True,True,True,20,22,20,22,10,8,10,10,?,?,?,?,13,13,11,13,East,182,181
True,True,True,False,21,23,21,?,8,6,8,?,?,?,?,?,12,14,12,?,South,181,180
True,True,True,True,22,24,22,24,6,4,6,4,?,?,?,?,13,15,13,15,South,180,179
True,True,True,True,22,24,22,24,4,2,4,2,?,?,?,?,14,16,14,16,South,179,178
True,True,True,True,22,24,22,24,2,2,2,0,?,?,?,?,15,17,15,17,South,178,377
True,True,True,True,24,26,24,26,?,?,?,?,?,?,?,?,16,18,16,18,West,377,376
True,True,True,True,23,25,23,25,?,?,?,?,?,?,?,?,15,17,15,17,North,376,375
False,True,True,True,?,25,23,25,?,?,?,?,?,?,?,?,?,15,13,15,North,375,374
True,True,True,True,21,23,21,23,?,?,?,?,?,?,?,?,13,15,13,15,East,374,373
True,True,True,False,19,21,19,?,?,?,?,?,?,?,?,?,12,14,12,?,North,373,372
True,True,True,True,17,19,17,19,?,?,?,?,?,?,?,?,13,13,11,13,North,372,371
True,True,True,True,16,18,16,18,?,?,?,?,?,?,?,?,11,11,9,11,East,371,370
True,True,True,True,16,18,16,18,?,?,?,?,?,?,?,?,10,10,8,10,East,370,369
True,True,True,True,16,18,16,18,?,?,?,?,?,?,?,?,10,10,8,10,East,369,368
True,False,True,True,16,?,16,18,?,?,?,?,?,?,?,?,9,?,7,9,East,368,367
True,True,True,True,14,16,16,16,?,?,?,?,?,?,?,?,7,5,5,7,East,367,366
True,True,True,False,15,17,17,?,?,?,?,?,?,?,?,?,6,4,4,?,South,366,365
True,True,True,False,17,19,19,?,?,?,?,?,?,?,?,?,6,4,4,?,South,365,364
True,True,True,False,17,19,19,?,?,?,?,?,?,?,?,?,4,4,2,?,South,364,363
True,True,True,True,18,20,20,18,?,?,?,?,?,?,?,?,3,3,1,3,East,363,362
True,True,True,True,18,20,20,18,?,?,?,?,?,?,?,?,2,2,0,2,East,362,361
False,True,True,True,?,20,20,18,?,?,?,?,?,?,?,?,?,2,0,2,East,361,560
False,False,False,True,?,?,?,18,?,?,?,?,?,?,?,?,?,?,?,?,East,560,559
False,True,True,True,?,19,19,17,?,?,?,?,?,?,?,?,?,?,?,?,West,559,558
True,True,True,True,15,17,17,15,?,?,?,?,?,?,?,?,?,?,?,?,West,558,557
True,True,False,True,13,15,?,13,?,?,?,?,?,?,?,?,?,?,?,?,North,557,556
False,True,True,True,?,14,14,12,?,?,?,?,?,?,?,?,?,?,?,?,North,556,555
True,True,True,True,10,12,12,10,?,?,?,?,?,?,?,?,?,?,?,?,West,555,554
True,True,False,True,9,11,?,9,?,?,?,?,?,?,?,?,?,?,?,?,North,554,553
True,True,True,True,8,10,10,8,?,?,?,?,?,?,?,?,?,?,?,?,North,553,552
True,True,True,True,6,8,8,6,?,?,?,?,?,?,?,?,?,?,?,?,North,552,551
True,True,True,True,4,6,6,4,?,?,?,?,?,?,?,?,?,?,?,?,North,551,550
True,True,True,True,4,6,6,4,?,?,?,?,?,?,?,?,?,?,?,?,North,550,549
True,True,True,True,4,4,4,2,?,?,?,?,?,?,?,?,?,?,?,?,North,549,548
True,False,True,True,10,?,12,10,17,?,15,17,6,?,4,6,12,?,10,12,South,-1,-2
True,True,True,True,11,13,13,11,15,13,15,15,4,2,4,4,10,8,8,10,East,-2,-3
True,True,True,False,13,15,15,?,14,12,14,?,4,2,4,?,10,8,8,?,South,-3,-4
True,True,True,True,14,16,16,16,12,10,12,10,3,1,3,1,9,7,7,9,South,-4,-5
True,True,True,True,14,16,16,16,10,10,10,8,1,3,3,1,8,6,6,8,South,-5,-6
True,True,True,True,12,14,14,14,11,9,11,9,3,1,3,1,8,6,6,8,North,-6,-7
True,True,True,True,14,16,16,16,11,11,11,9,2,2,2,0,6,4,4,6,South,-7,192
True,False,True,True,14,?,14,16,9,?,9,7,?,?,?,?,6,?,4,6,West,192,191
True,True,True,True,14,16,16,16,9,9,9,7,?,?,?,?,4,2,4,4,East,191,190
