@relation distance_raw_data-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C13-L5

@attribute 'Legal action North' {False,True}
@attribute 'Legal action South' {False,True}
@attribute 'Legal action East' {False,True}
@attribute 'Legal action West' {False,True}
@attribute 'North ghost' numeric
@attribute 'South ghost' numeric
@attribute 'East ghost' numeric
@attribute 'West ghost' numeric
@attribute 'North dot' numeric
@attribute 'South dot' numeric
@attribute 'East dot' numeric
@attribute 'West dot' numeric
@attribute 'Pacman direction' {North,South,East,West,Stop}
@attribute 'Current score' numeric
@attribute 'Future score' numeric

@data
True,True,True,True,10,12,12,10,1,3,3,3,North,536,535
True,True,True,True,9,11,11,9,0,2,2,2,North,535,534
True,True,True,True,8,10,10,8,2,2,0,2,North,534,533
False,True,True,True,?,9,9,7,?,2,2,4,North,533,532
False,True,True,True,?,8,8,6,?,4,2,4,West,532,731
False,True,True,True,?,9,9,7,?,10,10,8,East,731,730
False,True,True,True,?,10,10,8,?,10,10,8,East,730,729
False,True,True,True,?,11,11,9,?,10,10,8,East,729,828
False,True,True,True,?,?,?,?,?,10,10,8,East,828,827
False,True,False,True,?,?,?,?,?,12,?,10,East,827,826
False,True,True,True,?,?,?,?,?,12,12,10,West,826,825
False,True,True,True,?,?,?,?,?,12,12,10,West,825,824
False,True,True,True,?,?,?,?,?,12,12,10,West,824,823
False,True,True,True,?,?,?,?,?,11,11,9,West,823,822
False,True,True,True,?,?,?,?,?,9,9,7,West,822,821
False,True,True,True,?,?,?,?,?,9,9,7,West,821,820
False,False,True,True,?,?,?,?,?,?,7,5,West,820,819
False,False,True,True,?,?,?,?,?,?,7,5,West,819,818
False,False,True,True,?,?,?,?,?,?,6,4,West,818,817
False,False,True,True,?,?,?,?,?,?,4,2,West,817,816
True,False,True,True,6,?,4,6,8,?,6,8,South,-1,-2
True,True,True,True,5,3,3,5,8,6,8,8,East,-2,-3
True,True,True,False,4,2,2,?,6,4,6,?,South,-3,-4
True,True,True,True,3,3,1,3,4,4,4,2,South,-4,-5
False,True,True,True,?,4,2,4,?,2,2,0,West,-5,194
True,True,True,True,6,4,4,6,9,7,9,9,East,-2,-3
True,True,True,True,5,3,3,5,9,7,9,9,East,-3,-4
True,True,True,True,4,2,2,4,7,5,7,7,South,-4,-5
True,True,True,True,3,1,1,3,7,5,7,5,South,-5,-6
True,True,True,False,4,2,2,?,6,4,6,?,West,-6,-7
True,True,True,False,4,2,2,?,6,4,6,?,West,-7,-8
True,True,True,True,3,3,1,3,6,4,6,4,South,-8,-9
True,True,True,True,2,4,2,4,6,6,6,4,South,-9,-10
True,False,True,True,3,?,3,5,4,?,6,4,West,-10,-11
True,True,True,True,4,6,4,6,4,4,4,2,West,-11,-12
True,True,True,True,5,7,5,7,4,4,4,2,West,-12,-13
True,True,True,True,7,5,7,5,3,3,3,1,West,-13,-14
True,True,True,True,6,4,6,6,1,3,3,1,West,-14,-15
True,False,True,True,7,?,5,7,0,?,2,2,West,-15,-16
True,False,True,True,8,?,6,8,2,?,2,4,West,-16,-17
True,True,True,True,9,7,7,9,2,2,0,2,North,-17,-18
True,True,False,True,10,8,?,10,3,1,?,3,North,-18,-19
True,True,True,True,11,9,9,11,5,3,3,5,West,-19,80
False,True,True,True,?,11,11,13,?,4,4,6,North,80,79
True,True,True,True,12,10,10,12,6,4,4,6,South,79,78
